Ch1(mV[1]),Ch2(mV[0.051]),Ch3(mV[0.06]),Ch4(mV[1]),Ch5(mV[1]),Ch6(mV[1]),Ch7(mV[1]),Ch8(mV[1]),Ch9(mV[1]),Ch10(mV[1]),Ch11(mV[1]),Ch12(mV[1]),Ch13(mV[1]),Ch14(mV[1]),Ch15(mV[1]),Ch16(mV[1]),Ch17(uE[0.4762]),Ch18(uE[0.4762]),Ch19(uE[0.4762]),Ch20(uE[0.4762]),08:55:39 ,28/03/2019 
9994.5,0.298,6.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,299.773,308.497,-42.858,42.858, 2.26725260416671E-02 ,
9994.5,0.364,6.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,316.535,327.935,-42.858,42.858, 2.30224609375007E-02 ,
9994.5,0.364,7.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,335.316,345.378,-42.858,0.000, 2.33751085069454E-02 ,
9994.5,0.364,7.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,347.383,360.802,0.000,0.000, 2.37250434027789E-02 ,
9994.5,0.364,7.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,363.488,375.555,-42.858,-43.334, 2.40749782986107E-02 ,
9994.5,0.447,8.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,377.569,390.979,0.000,0.000, 2.44113498263889E-02 ,
9994.5,0.447,8.561,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,395.675,409.089,0.000,42.858, 2.47639973958336E-02 ,
9994.5,0.447,8.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,407.070,421.156,-42.858,42.858, 2.51280381944454E-02 ,
9994.5,0.513,9.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,425.851,439.937,-42.858,-43.334, 2.54638671875007E-02 ,
9994.5,0.496,9.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,439.266,453.347,-42.858,42.858, 2.58170572916665E-02 ,
9994.5,0.513,10.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,458.719,474.133,0.000,-43.334, 2.61669921875001E-02 ,
9994.5,0.513,10.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,468.776,488.219,0.000,42.858, 2.65169270833336E-02 ,
9994.5,0.579,10.586,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487.548,504.320,0.000,42.858, 2.68695746527783E-02 ,
