Element,Node,Fx[N],My[N.m],Mz[N.m]
422,459,236.854,-8.30E+03,0.248187
422,460,236.854,-1.03E+04,0.307497
423,460,246.704,-5.72E+03,0.307527
423,461,246.704,-2.42E+03,0.279442
424,461,122.564,2.19E+04,0.280711
424,458,122.564,2.57E+04,-0.922822
425,434,695.126,6.59E+04,-4.34388
425,466,695.126,5.50E+04,1.9665
426,466,686.081,6.45E+03,1.96523
426,467,686.081,-1.19E+03,-0.0496485
427,467,724.561,-3.58E+04,-0.0495697
427,468,724.561,-4.17E+04,0.193748
428,468,810.37,-6.64E+04,0.193597
428,458,810.37,-7.04E+04,0.2495
445,330,331.007,1.41E+04,-5.90353
445,483,331.007,7.59E+03,3.72798
446,483,-85.6259,-9.37E+03,3.7257
446,484,-85.6259,-1.22E+04,-1.5441
447,484,-121.639,-8.91E+03,-1.5444
447,485,-121.639,-3.46E+03,4.48869
448,485,286.023,2.04E+04,4.49132
448,482,286.023,2.95E+04,-6.80808
449,458,972.382,-7.63E+04,0.119002
449,490,972.382,-7.48E+04,0.209963
450,490,1.24E+03,-6.24E+04,0.210015
450,491,1.24E+03,-5.91E+04,0.0822136
451,491,1.64E+03,-3.81E+04,0.0821905
451,492,1.64E+03,-3.33E+04,1.43696
452,492,2.22E+03,473.967,1.43784
452,482,2.22E+03,8.34E+03,-1.53943
469,354,122.058,1.52E+04,0.809987
469,507,122.058,1.02E+04,-0.241218
470,507,235.106,-1.96E+04,-0.240076
470,508,235.106,-2.36E+04,-0.282328
471,508,191.289,-3.38E+04,-0.282229
471,509,191.289,-3.30E+04,-0.277053
472,509,27.407,-1.71E+04,-0.278048
472,506,27.407,-1.30E+04,0.739892
473,514,1.44E+03,6.75E+03,5.73688
473,515,1.44E+03,2.26E+03,-3.49001
474,515,1.04E+03,-1.01E+04,-3.48856
474,516,1.04E+03,-1.33E+04,0.214084
475,516,766.371,-2.21E+04,0.214063
475,517,766.371,-2.44E+04,-0.366796
476,517,579.535,-2.99E+04,-0.366524
476,506,579.535,-3.10E+04,-0.781857
477,514,651.358,-4.34E+03,-5.74078
477,522,651.358,-1.15E+04,3.12463
478,522,57.2197,-2.81E+04,3.12212
478,523,57.2197,-2.94E+04,-1.23429
479,523,0.613112,-2.32E+04,-1.23467
479,524,0.613112,-1.72E+04,3.9671
480,524,485.906,1.01E+04,3.96981
480,362,485.906,2.04E+04,-6.74289
497,386,280.468,3.23E+04,0.201622
497,539,280.468,2.07E+04,-0.0655267
498,539,254.871,-3.02E+04,-0.0652531
498,540,254.871,-3.47E+04,-0.0655994
499,540,319.272,-4.54E+04,-0.0656013
499,541,319.272,-4.46E+04,-0.0800263
500,541,838.488,-1.80E+04,-0.0803654
500,538,838.488,-1.02E+04,0.253048
501,506,467.199,-2.93E+04,-0.0417752
501,546,467.199,-2.65E+04,-0.974896
502,546,425.944,-1.76E+04,-0.974838
502,547,425.944,-1.36E+04,0.232773
503,547,459.467,-1.29E+03,0.233121
503,548,459.467,3.77E+03,-8.15546
504,548,597.525,1.95E+04,-8.1579
504,538,597.525,2.57E+04,18.1279
521,410,200.772,1.80E+04,0.127011
521,563,200.772,1.22E+04,-0.056914
522,563,189.821,-2.35E+04,-0.0567356
522,564,189.821,-2.82E+04,-0.0360655
523,564,111.167,-4.11E+04,-0.0360285
523,565,111.167,-4.02E+04,-0.0650425
524,565,10.0526,-2.11E+04,-0.065131
524,562,10.0526,-1.62E+04,0.0740298
525,538,608.076,2.66E+04,18.375
525,570,608.076,2.14E+04,-8.20812
526,570,395.829,8.17E+03,-8.20553
526,571,395.829,4.09E+03,0.157461
527,571,280.172,-5.95E+03,0.157185
527,572,280.172,-9.03E+03,-1.0463
528,572,224.242,-1.61E+04,-1.04617
528,562,224.242,-1.81E+04,-0.652608
545,434,400.536,3.60E+04,0.581343
545,587,400.536,2.21E+04,-0.404254
546,587,323.963,-3.81E+04,-0.403855
546,588,323.963,-4.34E+04,0.210623
547,588,396.317,-5.57E+04,0.210629
547,589,396.317,-5.46E+04,-0.323535
548,589,1.01E+03,-2.21E+04,-0.323564
548,586,1.01E+03,-1.26E+04,0.209697
549,562,213.123,-1.75E+04,-0.578579
549,594,213.123,-1.48E+04,-1.18822
550,594,247.78,-6.50E+03,-1.18838
550,595,247.78,-2.66E+03,0.203181
551,595,346.051,8.71E+03,0.20351
551,596,346.051,1.36E+04,-9.94501
552,596,549.587,2.84E+04,-9.9481
552,586,549.587,3.44E+04,21.9054
569,458,150.274,1.60E+04,-0.79234
569,611,150.274,9.11E+03,0.216372
570,611,312.89,-3.04E+04,0.215253
570,612,312.89,-3.54E+04,0.295717
571,612,262.604,-4.75E+04,0.295642
571,613,262.604,-4.61E+04,0.269885
572,613,39.6013,-2.36E+04,0.271008
572,610,39.6013,-1.79E+04,-0.832883
573,586,918.814,3.40E+04,22.1073
573,618,918.814,2.55E+04,-9.72871
574,618,704.148,3.23E+03,-9.72573
574,619,704.148,-3.71E+03,0.318714
575,619,630.595,-2.11E+04,0.318303
575,620,630.595,-2.66E+04,-1.17756
576,620,658.499,-3.91E+04,-1.17762
576,610,658.499,-4.29E+04,-0.139897
593,482,711.297,2.46E+04,-8.35073
593,635,711.297,1.03E+04,4.7468
594,635,92.1274,-2.75E+04,4.74345
594,636,92.1274,-3.55E+04,-1.5783
595,636,163.096,-4.33E+04,-1.57795
595,637,163.096,-4.10E+04,4.11004
596,637,980.435,-1.68E+04,4.11353
596,634,980.435,-6.26E+03,-7.98296
597,610,784.734,-4.53E+04,-0.973017
597,642,784.734,-4.36E+04,-0.567931
598,642,1.02E+03,-3.59E+04,-0.568293
598,643,1.02E+03,-3.26E+04,0.224684
599,643,1.37E+03,-2.01E+04,0.224704
599,644,1.37E+03,-1.53E+04,-5.30779
600,644,1.90E+03,2.16E+03,-5.30993
600,634,1.90E+03,8.60E+03,7.99548
617,658,205.181,1.31E+04,-0.451421
617,660,205.181,8.22E+03,-0.0501624
618,660,161.179,-5.62E+03,-0.0502076
618,661,161.179,-9.28E+03,-0.0923842
619,661,125.579,-1.94E+04,-0.0923884
619,662,125.579,-2.20E+04,-0.0370157
620,662,96.3482,-2.86E+04,-0.0370545
620,659,96.3482,-3.01E+04,0.0522414
621,659,-3.93482,-1.29E+04,0.160919
621,668,-3.93482,-1.70E+04,-0.0633084
622,668,5.91717,-3.31E+04,-0.0630986
622,669,5.91717,-3.40E+04,-0.0519384
623,669,9.17283,-2.46E+04,-0.0519567
623,670,9.17283,-2.08E+04,-0.0510746
624,670,7.30972,8.34E+03,-0.0512875
624,667,7.30972,1.32E+04,0.148835
625,675,178.435,1.84E+04,-0.0890808
625,676,178.435,1.12E+04,0.0915989
626,676,127.883,-1.98E+04,0.0915498
626,677,127.883,-2.42E+04,8.94E-03
627,677,90.2739,-4.35E+04,8.95E-03
627,678,90.2739,-4.66E+04,0.0208273
628,678,61.0311,-5.86E+04,0.0208392
628,667,61.0311,-6.01E+04,-8.71E-03
629,658,1.84855,-1.13E+03,0.440527
629,683,1.84855,-8.73E+03,-0.390136
630,683,-39.055,-2.73E+04,-0.389933
630,684,-39.055,-2.90E+04,0.120169
631,684,-32.7742,-2.38E+04,0.120158
631,685,-32.7742,-1.80E+04,-0.377501
632,685,13.2604,8.28E+03,-0.377742
632,675,13.2604,1.78E+04,0.586491
649,699,15.5149,2.08E+04,0.889086
649,700,15.5149,1.51E+04,-0.499791
650,700,32.5255,589.185,-0.499681
650,701,32.5255,-4.08E+03,3.36E-03
651,701,51.007,-1.54E+04,3.32E-03
651,702,51.007,-1.90E+04,-0.0716409
652,702,71.9369,-2.70E+04,-0.0716806
652,659,71.9369,-2.95E+04,0.108716
653,699,39.3397,-5.88E+03,0.246968
653,708,39.3397,-1.45E+04,-0.191888
654,708,15.3236,-4.39E+04,-0.191691
654,709,15.3236,-4.48E+04,0.0928336
655,709,10.5258,-3.53E+04,0.0929002
655,710,10.5258,-3.11E+04,-0.298464
656,710,-9.59935,1.78E+04,-0.298854
656,707,-9.59935,2.91E+04,0.486739
657,667,35.8877,-5.69E+04,0.0390429
657,715,35.8877,-5.40E+04,0.0150444
658,715,10.3395,-3.54E+04,0.0150692
658,716,10.3395,-3.09E+04,-0.0102847
659,716,-21.3382,-4.26E+03,-0.0102961
659,717,-21.3382,1.68E+03,0.206052
660,717,-65.5171,3.95E+04,0.206188
660,707,-65.5171,4.80E+04,-0.464589
677,699,195.018,2.29E+04,-1.14921
677,732,195.018,1.77E+04,0.420241
678,732,162.845,4.23E+03,0.420076
678,733,162.845,43.3223,-0.0309895
679,733,144.336,-1.03E+04,-0.0309791
679,734,144.336,-1.35E+04,0.0688712
680,734,136.034,-2.06E+04,0.0688677
680,731,136.034,-2.27E+04,-2.97E-03
681,731,-4.39182,-1.47E+04,-6.90E-03
681,740,-4.39182,-1.92E+04,2.36E-03
682,740,15.545,-3.70E+04,2.36E-03
682,741,15.545,-3.80E+04,2.20E-03
683,741,19.1742,-2.69E+04,2.21E-03
683,742,19.1742,-2.26E+04,-1.10E-03
684,742,2.78047,9.79E+03,-1.09E-03
684,739,2.78047,1.52E+04,-2.92E-03
685,707,225.47,5.15E+04,-0.445307
685,747,225.47,4.35E+04,0.201272
686,747,186.013,8.50E+03,0.201165
686,748,186.013,3.14E+03,-0.01061
687,748,164.274,-2.06E+04,-0.0105837
687,749,164.274,-2.45E+04,0.0210835
688,749,154.998,-4.04E+04,0.0210888
688,739,154.998,-4.27E+04,1.71E-03
705,763,204.987,2.57E+04,1.22293
705,764,204.987,2.02E+04,-0.436869
