Element,Node,Fx[N],My[N.m],Mz[N.m]
322,355,9.29E+01,-4.14E+03,-0.0979359
322,356,9.29E+01,-5.07E+03,-0.122454
323,356,9.49E+01,-4.36E+03,-0.122461
323,357,9.49E+01,-3.22E+03,-0.100089
324,357,4.85E+01,5.82E+03,-0.100555
324,354,4.85E+01,7.37E+03,0.334404
325,3.62E+02,7.77E+02,3.25E+03,-0.186447
325,3.63E+02,7.77E+02,644.626,0.177089
326,3.63E+02,5.71E+02,-1.05E+04,0.176972
326,3.64E+02,5.71E+02,-1.21E+04,8.69E-03
327,3.64E+02,4.28E+02,-1.91E+04,8.68E-03
327,3.65E+02,4.28E+02,-2.01E+04,0.0252996
328,365,3.30E+02,-2.43E+04,0.025283
328,354,3.30E+02,-2.48E+04,0.0201357
329,362,1.45E+02,8.69E+03,-2.57245
329,370,1.45E+02,5.35E+03,1.61752
330,370,-2.71E+01,-3.41E+03,1.61652
330,371,-2.71E+01,-5.23E+03,-0.589776
331,371,-2.39E+01,-5.76E+03,-0.589749
331,372,-2.39E+01,-4.32E+03,1.54992
332,372,1.52E+02,3.31E+03,1.5509
332,210,1.52E+02,6.24E+03,-2.51323
349,234,6.33E+01,1.07E+04,0.079691
349,387,6.33E+01,7.04E+03,-0.0348908
350,387,7.26E+01,-8.41E+03,-0.034796
350,388,7.26E+01,-9.73E+03,-0.0143267
351,388,6.92E+01,-9.07E+03,-0.0143264
351,389,6.92E+01,-7.53E+03,-0.0401201
352,389,3.53E+01,9.60E+03,-0.0402349
352,386,3.53E+01,1.36E+04,0.0985273
353,354,2.66E+02,-2.28E+04,0.024232
353,394,2.66E+02,-2.15E+04,0.0295725
354,394,2.26E+02,-1.33E+04,0.0295972
354,395,2.26E+02,-1.13E+04,-0.0101971
355,395,196.321,104.328,-0.0102032
355,396,1.96E+02,2.64E+03,0.330034
356,396,1.75E+02,1.88E+04,0.330249
356,386,1.75E+02,2.24E+04,-0.724003
373,258,6.65E+01,5.68E+03,1.24E-13
373,411,6.65E+01,4.13E+03,-2.42E-14
374,411,7.13E+01,-4.56E+03,-2.47E-14
374,412,7.13E+01,-5.56E+03,-1.91E-14
375,412,7.28E+01,-4.62E+03,-1.93E-14
375,413,7.28E+01,-3.34E+03,5.58E-15
376,413,7.08E+01,6.82E+03,5.55E-15
376,410,7.08E+01,8.54E+03,1.22E-14
377,386,1.95E+02,2.30E+04,-0.725462
377,418,1.95E+02,1.97E+04,0.330638
378,418,1.85E+02,5.31E+03,0.330421
378,419,1.85E+02,3.10E+03,-9.68E-03
379,419,1.79E+02,-6.66E+03,-9.68E-03
379,420,1.79E+02,-8.30E+03,0.030677
380,420,1.76E+02,-1.49E+04,0.0306498
380,410,1.76E+02,-1.59E+04,0.0241923
397,282,6.33E+01,1.07E+04,-0.079691
397,435,6.33E+01,7.04E+03,0.0348908
398,435,7.26E+01,-8.41E+03,0.034796
398,436,7.26E+01,-9.73E+03,0.0143267
399,436,6.92E+01,-9.07E+03,0.0143264
399,437,6.92E+01,-7.53E+03,0.0401201
400,437,3.53E+01,9.60E+03,0.0402349
400,434,3.53E+01,1.36E+04,-0.0985273
401,410,1.76E+02,-1.59E+04,0.0241923
401,442,1.76E+02,-1.49E+04,0.0306498
402,442,1.79E+02,-8.30E+03,0.030677
402,443,1.79E+02,-6.66E+03,-9.68E-03
403,443,1.85E+02,3.10E+03,-9.68E-03
403,444,1.85E+02,5.31E+03,0.330421
404,444,1.95E+02,1.97E+04,0.330638
404,434,1.95E+02,2.30E+04,-0.725462
421,306,4.42E+01,5.34E+03,-0.307176
421,459,4.42E+01,3.88E+03,0.0983683
422,459,9.29E+01,-4.14E+03,0.0979359
422,460,9.29E+01,-5.07E+03,0.122454
423,460,9.49E+01,-4.36E+03,0.122461
423,461,9.49E+01,-3.22E+03,0.100089
424,461,4.85E+01,5.82E+03,0.100555
424,458,4.85E+01,7.37E+03,-0.334404
425,434,1.75E+02,2.24E+04,-0.724003
425,466,1.75E+02,1.88E+04,0.330249
426,466,1.96E+02,2.64E+03,0.330034
426,467,1.96E+02,104.328,-0.0102032
427,467,2.26E+02,-1.13E+04,-0.0101971
427,468,2.26E+02,-1.33E+04,0.0295972
428,468,2.66E+02,-2.15E+04,0.0295725
428,458,2.66E+02,-2.28E+04,0.024232
445,330,1.52E+02,6.24E+03,-2.51323
445,483,1.52E+02,3.31E+03,1.5509
446,483,-2.39E+01,-4.32E+03,1.54992
446,484,-2.39E+01,-5.76E+03,-0.589749
447,484,-2.71E+01,-5.23E+03,-0.589776
447,485,-2.71E+01,-3.41E+03,1.61652
448,485,1.45E+02,5.35E+03,1.61752
448,482,1.45E+02,8.69E+03,-2.57245
449,458,3.30E+02,-2.48E+04,0.0201357
449,490,3.30E+02,-2.43E+04,0.025283
450,4.90E+02,4.28E+02,-2.01E+04,0.0252996
450,4.91E+02,4.28E+02,-1.91E+04,8.68E-03
451,4.91E+02,5.71E+02,-1.21E+04,8.69E-03
451,4.92E+02,5.71E+02,-1.05E+04,0.176972
452,4.92E+02,777.068,644.626,0.177089
452,4.82E+02,7.77E+02,3.25E+03,-0.186447
469,354,5.10E+01,5.99E+03,0.330308
469,507,5.10E+01,4.00E+03,-0.0963973
470,507,9.69E+01,-7.94E+03,-0.0959311
470,508,9.69E+01,-9.51E+03,-0.115596
471,508,7.84E+01,-1.36E+04,-0.115553
471,509,7.84E+01,-1.32E+04,-0.114335
472,509,1.11E+01,-6.85E+03,-0.114745
472,506,1.11E+01,-5.21E+03,0.305775
473,5.14E+02,5.91E+02,2.80E+03,2.3668
473,5.15E+02,5.91E+02,1.00E+03,-1.4419
474,5.15E+02,4.27E+02,-3.95E+03,-1.4413
474,5.16E+02,4.27E+02,-5.27E+03,0.0882534
475,516,3.16E+02,-8.80E+03,0.0882446
475,517,3.16E+02,-9.71E+03,-0.151009
476,517,2.39E+02,-1.19E+04,-0.150897
476,506,2.39E+02,-1.24E+04,-0.320857
477,514,2.69E+02,-1.68E+03,-2.36562
477,522,2.69E+02,-4.54E+03,1.28606
478,522,2.42E+01,-1.12E+04,1.28502
478,523,2.42E+01,-1.18E+04,-0.508608
479,523,6.21E-01,-9.36E+03,-0.508765
479,524,6.21E-01,-6.96E+03,1.62765
480,524,1.98E+02,3.95E+03,1.62876
480,362,1.98E+02,8.06E+03,-2.75856
497,386,1.07E+02,1.28E+04,0.0999896
497,539,1.07E+02,8.19E+03,-0.0418485
498,539,1.04E+02,-1.21E+04,-0.0417369
498,540,1.04E+02,-1.39E+04,-0.0110361
499,540,1.32E+02,-1.82E+04,-0.0110363
499,541,1.32E+02,-1.78E+04,-0.049385
500,541,3.43E+02,-7.13E+03,-0.0495246
500,538,3.43E+02,-4.00E+03,0.116794
501,506,1.92E+02,-1.17E+04,-0.015004
501,546,1.92E+02,-1.06E+04,-0.40037
502,546,1.75E+02,-6.99E+03,-0.400345
502,547,1.75E+02,-5.38E+03,0.0948948
503,547,1.88E+02,-442.271,0.0950381
503,548,1.88E+02,1.59E+03,-3.34442
504,548,2.43E+02,7.92E+03,-3.34542
504,538,2.43E+02,1.04E+04,7.42066
521,410,7.42E+01,6.99E+03,1.07E-13
521,563,7.42E+01,4.77E+03,-3.08E-14
522,563,7.54E+01,-8.72E+03,-3.06E-14
522,564,7.54E+01,-1.05E+04,-2.39E-14
523,564,4.65E+01,-1.54E+04,-2.51E-14
523,565,4.65E+01,-1.51E+04,-7.22E-14
524,565,3.33E+00,-7.89E+03,-7.22E-14
524,562,3.33E+00,-6.05E+03,2.28E-14
525,538,2.72E+02,1.09E+04,7.53761
525,570,2.72E+02,8.65E+03,-3.34781
526,570,1.85E+02,3.08E+03,-3.34675
526,571,1.85E+02,1.34E+03,0.080177
527,571,1.40E+02,-2.91E+03,0.080065
527,572,1.40E+02,-4.25E+03,-0.413104
528,572,1.20E+02,-7.25E+03,-0.41305
528,562,1.20E+02,-8.14E+03,-0.220405
545,434,1.07E+02,1.28E+04,-0.0999896
545,587,1.07E+02,8.19E+03,0.0418485
546,587,1.04E+02,-1.21E+04,0.0417369
546,588,1.04E+02,-1.39E+04,0.0110361
547,588,1.32E+02,-1.82E+04,0.0110363
547,589,1.32E+02,-1.78E+04,0.049385
548,5.89E+02,3.43E+02,-7.13E+03,0.0495246
548,5.86E+02,3.43E+02,-4.00E+03,-0.116794
549,562,1.20E+02,-8.14E+03,-0.220405
549,594,1.20E+02,-7.25E+03,-0.41305
550,594,1.40E+02,-4.25E+03,-0.413104
550,595,1.40E+02,-2.91E+03,0.080065
551,595,1.85E+02,1.34E+03,0.080177
551,596,1.85E+02,3.08E+03,-3.34675
552,596,2.72E+02,8.65E+03,-3.34781
552,586,2.72E+02,1.09E+04,7.53761
