Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
351,389,158.664,-0.0239979,-1.67E+04,-0.0796449
352,389,81.9778,-0.272666,2.18E+04,-0.0798921
352,386,81.9778,-0.272666,3.07E+04,0.204963
353,354,602.348,0.410671,-5.19E+04,0.0592016
353,394,602.348,0.410671,-4.89E+04,0.0684385
354,394,511.776,0.569279,-3.01E+04,0.0684967
354,395,511.776,0.569279,-2.56E+04,-0.0216044
355,395,446.985,-0.671581,518.186,-0.0216173
355,396,446.985,-0.671581,6.30E+03,0.74966
356,396,401.145,0.581791,4.30E+04,0.750148
356,386,401.145,0.581791,5.13E+04,-1.64243
373,258,153.044,-1.28E-12,1.28E+04,2.86E-13
373,411,153.044,-1.28E-12,9.36E+03,-5.68E-14
374,411,163.299,1.02E-12,-9.90E+03,-5.61E-14
374,412,163.299,1.02E-12,-1.21E+04,-4.46E-14
375,412,166.617,2.99E-12,-9.99E+03,-4.26E-14
375,413,166.617,2.99E-12,-7.16E+03,1.10E-14
376,413,162.48,-6.93E-13,1.54E+04,1.09E-14
376,410,162.48,-6.93E-13,1.92E+04,3.14E-14
377,386,434.625,0.296255,5.24E+04,-1.63976
377,418,434.625,0.296255,4.50E+04,0.749291
378,418,412.47,1.46659,1.23E+04,0.748801
378,419,412.47,1.46659,7.26E+03,-0.0211132
379,419,401.5,0.105341,-1.50E+04,-0.0211061
379,420,401.5,0.105341,-1.88E+04,0.0705194
380,420,395.325,0.108372,-3.39E+04,0.0704588
380,410,395.325,0.108372,-3.61E+04,0.0540902
397,282,145.438,-0.136461,2.42E+04,-0.162315
397,435,145.438,-0.136461,1.60E+04,0.0677751
398,435,166.355,-0.105571,-1.87E+04,0.0675735
398,436,166.355,-0.105571,-2.16E+04,0.0377134
399,436,158.664,0.0239979,-2.01E+04,0.0377126
399,437,158.664,0.0239979,-1.67E+04,0.0796449
400,437,81.9778,0.272666,2.18E+04,0.0798921
400,434,81.9778,0.272666,3.07E+04,-0.204963
401,410,395.325,-0.108372,-3.61E+04,0.0540902
401,442,395.325,-0.108372,-3.39E+04,0.0704588
